'Bri     O'Brien
'Del     O'Dell
'Don     O'Donnell
'Dwy     O'Dwyer
'Har     O'Hare
'Lea     O'Leary
'Nei     O'Neill
'She     O'Shea
'Sul     O'Sullivan
'art     d'art
'clo     o'clock
'eta     d'etat
'oei     l'oeil
'oeu     d'oeuvre
'vov     L'vov
.S.A     U.S.A
10th     10th
AAAS     AAAS
AACP     NAACP
ANSI     ANSI
ASTM     ASTM
AT&T     AT&T
Aarh     Aarhus
Aaro     Aaron
Abab     Ababa
Abbo     Abbott
Abid     Abidjan
Abig     Abigail
Abne     Abner
Abys     Abyssinia
Acad     Acadia
Acap     Acapulco
Accr     Accra
Achi     Achilles
Acke     Ackerman
Ackl     Ackley
Acta     Actaeon
Acto     Acton
Acts     Acts
Adai     Adair
Addr     Addressograph
Aden     Aden
Adir     Adirondack
Adki     Adkins
Adle     Adler
Adon     Adonis
Aege     Aegean
Aeol     Aeolus
Aero     Aerobacter
Aesc     Aeschylus
Afri     Africa
Agam     Agamemnon
Agat     Agatha
Agee     Agee
Agri     Agricola
Agwa     Agway
Ahma     Ahmadabad
Ahme     Ahmedabad
Aida     Aida
Aide     Aides
Aike     Aiken
Aile     Aileen
Ainu     Ainu
Aire     Aires
Aitk     Aitken
Ajax     Ajax
Aker     Akers
Akro     Akron
Alan     Alan
Alas     Alaska
Albu     Albuquerque
Alce     Alcestis
Alcm     Alcmena
Aldr     Aldrich
Alfo     Alfonso
Algi     Algiers
Alha     Alhambra
Alls     Allstate
Ally     Allyn
Alma     Almaden
Alpe     Alpert
Alps     Alps
Alsa     Alsatian
Also     Alsop
Alta     Altair
Alto     Alton
Alvi     Alvin
Amad     Amadeus
Amar     Amarillo
Amaz     Amazon
Amel     Amelia
Amhe     Amherst
Amma     Amman
Amme     Ammerman
Amoc     Amoco
Amos     Amos
Ampe     Ampex
Amst     Amsterdam
Amtr     Amtrak
Anah     Anaheim
Anas     Anastasia
Anat     Anatole
Andy     Andy
Angi     Angie
Angu     Angus
Anhe     Anheuser
Anit     Anita
Anka     Ankara
Anni     Annie
Anth     Anthony
Antw     Antwerp
Aphr     Aphrodite
Apoc     Apocrypha
Appa     Appalachia
Appi     Appian
Apri     April
Aqua     Aquarius
Arac     Arachne
Arca     Arcadia
Arct     Arcturus
Arde     Arden
Areq     Arequipa
Ares     Ares
Arge     Argentina
Argi     Argive
Argu     Argus
Arie     Aries
Ariz     Arizona
Arli     Arlington
Armc     Armco
Arms     Armstrong
Arno     Arnold
Arra     Arragon
Arrh     Arrhenius
Arte     Artemis
Arti     Artie
Artu     Arturo
Arub     Aruba
Ashm     Ashmolean
Asil     Asilomar
Assa     Assam
Asta     Astarte
Asun     Asuncion
Atal     Atalanta
Atch     Atchison
Atha     Athabascan
Atre     Atreus
Atro     Atropos
Atti     Attica
Atwa     Atwater
Atwo     Atwood
Aube     Auberge
Aubr     Aubrey
Auck     Auckland
Audr     Audrey
Audu     Audubon
Auer     Auerbach
Auge     Augean
Aure     Aurelius
Auri     Auriga
Ausc     Auschwitz
Aven     Aventine
Aver     Avery
Aves     Avesta
Avis     Avis
Aviv     Aviv
Avog     Avogadro
Avon     Avon
Ayer     Ayers
Ayle     Aylesbury
Azer     Azerbaijan
BEMA     BEMA
BSTJ     BSTJ
Babc     Babcock
Babe     Babel
Bacc     Bacchus
Bach     Bach
Bade     Baden
Baff     Baffin
